rank,title,worldwide,domestic,foreign
94,Dollhouse,"$11,547,839",-,-
95,Eddington,"$11,335,529","$10,005,877",88.3%
96,Presence,"$11,067,375","$6,900,044",62.3%
97,How to Make a Killing,"$11,055,456",-,-
98,Clown in a Cornfield,"$10,720,980","$7,251,799",67.6%
99,Saiyaara,"$10,691,135","$3,359,480",31.4%
100,Frontline,"$10,118,572",-,-
101,The Alto Knights,"$10,103,664","$6,103,664",60.4%
102,Detective Kien: The Headless Horror,"$9,768,694",-,-
103,Nha Gia Tien,"$9,506,056",-,-
104,L2: Empuraan,"$9,283,660",-,-
105,Face Off 8: Embrace of Light,"$8,887,206",-,-
106,Under Ninja,"$8,782,158",-,-
107,Na derevnyu dedushke,"$8,596,808",-,-
108,Red Silk,"$8,424,858",-,-
109,Money Kisses,"$8,325,363",-,-
110,Chhaava,"$8,219,603","$4,800,000",58.4%
111,His Name Was Not Listed,"$8,189,604",-,-
112,Hurry Up Tomorrow,"$7,763,862","$5,215,357",67.2%
113,Six: The Musical Live!,"$7,755,929",-,-
114,Omniscient Reader: The Prophecy,"$7,663,569",-,-
115,Tsarevna-lyagushka,"$7,532,015",-,-
116,The Unbreakable Boy,"$7,529,033","$6,443,813",85.6%
117,Pride & Prejudice 20th Anniversary Re-Release,"$7,492,045","$6,193,658",82.7%
118,Les Bodin's partent en vrille,"$7,277,574",-,-
119,JUJUTSU KAISEN: Hidden Inventory/Premature Death - The Movie,"$7,233,186","$3,257,365",45%
120,Colours of Time,"$7,151,568",-,-
121,Moon le panda,"$7,128,999",-,-
122,Princess Mononoke 4K Restoration,"$7,087,167","$6,851,056",96.7%
123,Dan Da Dan: Evil Eye,"$6,902,843","$5,637,078",81.7%
124,Tunnel,"$6,641,870",-,-
125,Holy Night: Demon Hunters,"$6,611,980",-,-
126,The Last Supper,"$6,564,857","$6,564,857",100%
127,Palma 2,"$6,542,273",-,-
128,Mesa de Regalos,"$6,500,853",-,-
129,Pink Floyd: Live at Pompeii 2025 Re-release,"$6,497,252","$2,620,076",40.3%
130,Dangerous Animals,"$6,289,352","$2,738,137",43.5%
131,The Ties That Bind Us,"$6,285,182",-,-
132,In the Lost Lands,"$6,233,626","$1,870,305",30%
133,Thudarum,"$6,226,200",-,-
134,Tokyo Mer the Movie: Nankai Mission,"$6,181,464",-,-
135,The Corpse,"$6,165,187",-,-
136,Peppa Meets the Baby Cinema Experience,"$6,115,539","$419,817",6.9%
137,Tina,"$5,981,471",-,-
138,Kleks i wynalazek Filipa Golarza,"$5,946,256",-,-
139,35-Nen-me no Rabu Retaa,"$5,738,748",-,-
140,Night of the Zoopocalypse,"$5,598,939","$2,108,907",37.7%
141,Graduation Heist,"$5,563,421",-,-
142,The Solitary Gourmet,"$5,478,275",-,-
143,Secret: Untold Melody,"$5,434,082",-,-
144,The Pact,"$5,400,469",-,-
145,Shadow Force,"$5,385,191","$3,933,483",73%
146,Leave One Day,"$5,355,557",-,-
147,Kishibe Rohan wa Ugokanai Zange-shitsu,"$5,290,615",-,-
148,Sketch,"$5,231,341","$5,218,889",99.8%
149,The Ballad of Wallis Island,"$5,162,243","$1,607,835",31.1%
150,Detective Chinatown 1900,"$4,999,561","$2,229,946",44.6%
151,The Legend of Ochi,"$4,872,389","$2,475,373",50.8%
152,Kakukaku Shikajika,"$4,790,948",-,-
153,Zhdun,"$4,755,769",-,-
154,10 giorni con i suoi,"$4,733,516",-,-
155,Zloy gorod,"$4,683,708",-,-
156,Wolfgang (extraordinari),"$4,674,595",-,-
157,Manyunya. Den rozhdeniya Ba,"$4,610,467",-,-
158,The Friend,"$4,609,470","$3,941,217",85.5%
159,A Girl Named Willow,"$4,609,364",-,-
160,Brave the Dark,"$4,529,925","$4,525,443",99.9%
161,À bicyclette!,"$4,409,843",-,-
162,Vysehrad Dvje,"$4,386,984",-,-
163,Dream Animals: The Movie,"$4,249,797",-,-
164,Les condés,"$4,219,113",-,-
165,Fight or Flight,"$4,211,202","$3,522,025",83.6%
166,Locked,"$4,166,086","$1,632,758",39.2%
167,The Soul Lantern,"$4,153,546",-,-
168,Legends of the Condor Heroes: The Gallants,"$4,125,485","$671,343",16.3%
169,Sihirli Annem: Hepimiz Biriz,"$4,122,997",-,-
170,Ocean with David Attenborough,"$4,118,534",-,-
171,A Nun in the City,"$4,118,029",-,-
172,Cernak,"$4,082,376",-,-
173,Marching Powder,"$4,056,048",-,-
174,Jiko Bukken: Zoku Kowai Madori,"$3,959,483",-,-
175,j-hope Tour 'Hope on the Stage' in Japan: Live Viewing,"$3,955,139","$789,173",20%
176,On ira,"$3,904,224",-,-
177,Better Days,"$3,897,947",-,-
178,McMANSION,"$3,885,223",-,-
179,L'amour c'est surcoté,"$3,880,898",-,-
180,The Old Woman with the Knife,"$3,839,162",-,-
181,Zion,"$3,810,264",-,-
182,Creation of the Gods II: Demon Force,"$3,793,795","$1,853,487",48.9%
183,"13 Days, 13 Nights","$3,730,389",-,-
184,The Southern Chronicles,"$3,708,411",-,-
185,The Tasters,"$3,667,082",-,-
186,Housefull 5,"$3,640,511","$1,152,549",31.7%
187,Le secret de Khéops,"$3,630,658",-,-
188,Jane Austen Wrecked My Life,"$3,625,260","$1,876,891",51.8%
189,Macbeth: David Tennant & Cush Jumbo,"$3,622,369",-,-
190,The Quiet Son,"$3,548,929",-,-
191,Sitaare Zameen Par,"$3,537,111",-,-
192,Chasing the Wind,"$3,533,057",-,-
193,King of Prism - Your Endless Call- Minna Kirameki! Prism Tours,"$3,528,844",-,-
194,The Ritual,"$3,525,434","$527,118",15%
195,Un funeral de locos,"$3,502,827",-,-
196,Hana Manma,"$3,441,482",-,-
197,Út Lan the Guardian Demon,"$3,432,695",-,-
198,The Blunder,"$3,402,588",-,-
199,Exorcism Chronicles: The Beginning,"$3,358,770",-,-
200,Ne odna doma 2,"$3,346,725",-,-
